,metadata.epub,metadata.cover,bibliography.languages,bibliography.subjects,bibliography.title,bibliography.type,metadata.downloads,metadata.id,metadata.url,bibliography.author.name,bibliography.publication.day,bibliography.publication.month,bibliography.publication.year
813,https://www.gutenberg.org/ebooks/351.epub3.images,https://www.gutenberg.org/cache/epub/351/pg351.cover.medium.jpg,en,"People with disabilities -- Fiction,Artists -- Fiction,Orphans -- Fiction,Bildungsromans,Physicians -- Fiction",Of Human Bondage,Text,490,351,https://www.gutenberg.org/ebooks/351,"Maugham, W. Somerset (William Somerset)",6,5,2008
814,https://www.gutenberg.org/ebooks/11417.epub3.images,https://www.gutenberg.org/cache/epub/11417/pg11417.cover.medium.jpg,en,"Lays -- Translations into English;Romances -- Translations into English;Marie, de France, active 12th century -- Translations into English",French Mediaeval Romances from the Lays of Marie de France,Text,489,11417,https://www.gutenberg.org/ebooks/11417,"Marie, Queen of Rumania",3,3,2004
815,https://www.gutenberg.org/ebooks/12341.epub3.images,https://www.gutenberg.org/cache/epub/12341/pg12341.cover.medium.jpg,en,French fiction -- Translations into English,Against the Grain,Text,489,12341,https://www.gutenberg.org/ebooks/12341,"Huysmans, J.-K. (Joris-Karl)",14,5,2004
816,https://www.gutenberg.org/ebooks/16376.epub3.images,https://www.gutenberg.org/cache/epub/16376/pg16376.cover.medium.jpg,en,English poetry,Browning's Shorter Poems,Text,489,16376,https://www.gutenberg.org/ebooks/16376,"Browning, Robert",28,7,2005
817,https://www.gutenberg.org/ebooks/32522.epub3.images,https://www.gutenberg.org/cache/epub/32522/pg32522.cover.medium.jpg,en,"Science fiction,War stories,Space ships -- Fiction",Mr. Spaceship,Text,489,32522,https://www.gutenberg.org/ebooks/32522,"Dick, Philip K.",25,5,2010
818,https://www.gutenberg.org/ebooks/51274.epub3.images,https://www.gutenberg.org/cache/epub/51274/pg51274.cover.medium.jpg,en,,Ambition,Text,488,51274,https://www.gutenberg.org/ebooks/51274,"Bade, William L.",21,2,2016
819,https://www.gutenberg.org/ebooks/1965.epub3.images,https://www.gutenberg.org/cache/epub/1965/pg1965.cover.medium.jpg,en,"Historical fiction,Caribbean Area -- Fiction,Pirates -- Fiction,Physicians -- Fiction,Sea stories,Adventure stories,British -- Caribbean Area -- Fiction",Captain Blood,Text,487,1965,https://www.gutenberg.org/ebooks/1965,"Sabatini, Rafael",1,11,1999
820,https://www.gutenberg.org/ebooks/34815.epub3.images,https://www.gutenberg.org/cache/epub/34815/pg34815.cover.medium.jpg,en,"Aeronautics -- Periodicals,Airships -- Periodicals",Jane's All the World's Aircraft. 1913,Text,487,34815,https://www.gutenberg.org/ebooks/34815,Unknown,2,1,2011
821,https://www.gutenberg.org/ebooks/51418.epub3.images,https://www.gutenberg.org/cache/epub/51418/pg51418.cover.medium.jpg,en,,"""1812"" Napoleon I in Russia",Text,487,51418,https://www.gutenberg.org/ebooks/51418,"Vereshchagin, Vasilii Vasilevich",12,3,2016
822,https://www.gutenberg.org/ebooks/944.epub3.images,https://www.gutenberg.org/cache/epub/944/pg944.cover.medium.jpg,en,"Natural history,Voyages around the world -- History -- 19th century,Beagle Expedition (1831-1836),South America -- Discovery and exploration,Geology",The Voyage of the Beagle,Text,487,944,https://www.gutenberg.org/ebooks/944,"Darwin, Charles",1,6,1997
